Provincia,Distrito,Municipio
Málaga,Costa del Sol,Ojén
Málaga,Costa del Sol,Benalmádena
Málaga,Costa del Sol,Torremolinos
Málaga,Málaga (distrito),Almogía
Málaga,Málaga (distrito),Málaga (capital)
Málaga,Málaga (distrito),Totalán
Málaga,Málaga (distrito),Macharaviaya
Málaga,Málaga (distrito),Moclinejo
Málaga,Málaga (distrito),Rincón de la Victoria
Málaga,Serranía,Algatocín
Málaga,Serranía,Atajate
Málaga,Serranía,Benadalid
Málaga,Serranía,Benalauría
Málaga,Serranía,Benarrabá
Málaga,Serranía,Gaucín
Málaga,Serranía,Genalguacil
Málaga,Serranía,Jubrique
Málaga,Serranía,Benaoján
Málaga,Serranía,Cortes de la Frontera
Málaga,Serranía,Jimera de Líbar
Málaga,Serranía,Montejaque
Málaga,Serranía,Alpandeire
Málaga,Serranía,Arriate
Málaga,Serranía,Burgo (El)
Málaga,Serranía,Cartajima
Málaga,Serranía,Cuevas del Becerro
Málaga,Serranía,Faraján
Málaga,Serranía,Igualeja
Málaga,Serranía,Júzcar
Málaga,Serranía,Montecorto
Málaga,Serranía,Parauta
Málaga,Serranía,Pujerra
Málaga,Serranía,Ronda
Málaga,Serranía,Serrato
Sevilla,Sevilla Sur,Alcalá de Guadaíra
Sevilla,Sevilla Sur,Dos Hermanas
Sevilla,Sevilla Sur,Arahal
Sevilla,Sevilla Sur,Paradas
Sevilla,Sevilla Sur,Cabezas de San Juan (Las)
Sevilla,Sevilla Sur,Cuervo de Sevilla (El)
Sevilla,Sevilla Sur,Lebrija
Sevilla,Sevilla Sur,Palacios y Villafranca (Los)
Sevilla,Sevilla Sur,Coripe
Sevilla,Sevilla Sur,Montellano
Sevilla,Sevilla Sur,Morón de la Frontera
Sevilla,Sevilla Sur,Pruna
Sevilla,Sevilla Sur,Coronil (El)
Sevilla,Sevilla Sur,Molares (Los)
Sevilla,Sevilla Sur,Palmar de Troya (El)
Sevilla,Sevilla Sur,Utrera
Sevilla,Aljarafe,Camas
Sevilla,Aljarafe,Castilleja de Guzmán
Sevilla,Aljarafe,Santiponce
Sevilla,Aljarafe,Valencina de la Concepción
Sevilla,Aljarafe,Castilleja de la Cuesta
Sevilla,Aljarafe,Gines
Sevilla,Aljarafe,Almensilla
Sevilla,Aljarafe,Coria del Río
Sevilla,Aljarafe,Isla Mayor
Sevilla,Aljarafe,Puebla del Río (La)
Sevilla,Aljarafe,Mairena del Aljarafe
Sevilla,Aljarafe,Palomares del Río
Sevilla,Aljarafe,Albaida del Aljarafe
Sevilla,Aljarafe,Olivares
Sevilla,Aljarafe,Salteras
Sevilla,Aljarafe,Villanueva del Ariscal
Sevilla,Aljarafe,Aznalcázar
Sevilla,Aljarafe,Carrión de los Céspedes
Sevilla,Aljarafe,Chucena
Sevilla,Aljarafe,Hinojos
Sevilla,Aljarafe,Huévar del Aljarafe
Sevilla,Aljarafe,Pilas
Sevilla,Aljarafe,Villamanrique de la Condesa
Sevilla,Aljarafe,Gelves
Sevilla,Aljarafe,San Juan de Aznalfarache
Sevilla,Aljarafe,Aznalcóllar
Sevilla,Aljarafe,Benacazón
Sevilla,Aljarafe,Bollullos de la Mitación
Sevilla,Aljarafe,Castilleja del Campo
Sevilla,Aljarafe,Espartinas
Sevilla,Aljarafe,Sanlúcar la Mayor
Sevilla,Aljarafe,Umbrete
Sevilla,Aljarafe,Bormujos
Sevilla,Aljarafe,Tomares
Sevilla,Sevilla Este,Écija
Sevilla,Sevilla Este,Algámitas
Sevilla,Sevilla Este,Corrales (Los)
Sevilla,Sevilla Este,Martín de la Jara
Sevilla,Sevilla Este,Saucejo (El)
Sevilla,Sevilla Este,Villanueva de San Juan
Sevilla,Sevilla Este,Badolatosa
Sevilla,Sevilla Este,Casariche
Sevilla,Sevilla Este,Estepa
Sevilla,Sevilla Este,Gilena
Sevilla,Sevilla Este,Herrera
Sevilla,Sevilla Este,Lora de Estepa
Sevilla,Sevilla Este,Marinaleda
Sevilla,Sevilla Este,Pedrera
Sevilla,Sevilla Este,Roda de Andalucía (La)
Sevilla,Sevilla Este,Cañada Rosal
Sevilla,Sevilla Este,Fuentes de Andalucía
Sevilla,Sevilla Este,Luisiana (La)
Sevilla,Sevilla Este,Marchena
Sevilla,Sevilla Este,Aguadulce
Sevilla,Sevilla Este,Lantejuela
Sevilla,Sevilla Este,Osuna
Sevilla,Sevilla Este,Rubio (El)
Sevilla,Sevilla Este,Puebla de Cazalla (La)
Sevilla,Sevilla Norte,Alcalá del Río
Sevilla,Sevilla Norte,Burguillos
Sevilla,Sevilla Norte,Castilblanco de los Arroyos
Sevilla,Sevilla Norte,Brenes
Sevilla,Sevilla Norte,Villaverde del Río
Sevilla,Sevilla Norte,Cantillana
Sevilla,Sevilla Norte,Tocina
Sevilla,Sevilla Norte,Villanueva del Río y Minas
Sevilla,Sevilla Norte,Carmona
Sevilla,Sevilla Norte,Alanís
Sevilla,Sevilla Norte,Cazalla de la Sierra
Sevilla,Sevilla Norte,Guadalcanal
Sevilla,Sevilla Norte,Constantina
Sevilla,Sevilla Norte,Navas de la Concepción (Las)
Sevilla,Sevilla Norte,Pedroso (El)
Sevilla,Sevilla Norte,San Nicolás del Puerto
Sevilla,Sevilla Norte,Almadén de la Plata
Sevilla,Sevilla Norte,Castillo de las Guardas (El)
Sevilla,Sevilla Norte,Garrobo (El)
Sevilla,Sevilla Norte,Gerena
Sevilla,Sevilla Norte,Guillena
Sevilla,Sevilla Norte,Madroño (El)
Sevilla,Sevilla Norte,Real de la Jara (El)
Sevilla,Sevilla Norte,Ronquillo (El)
Sevilla,Sevilla Norte,Algaba (La)
Sevilla,Sevilla Norte,Rinconada (La)
Sevilla,Sevilla Norte,Alcolea del Río
Sevilla,Sevilla Norte,Campana (La)
Sevilla,Sevilla Norte,Lora del Río
Sevilla,Sevilla Norte,Puebla de los Infantes (La)
Sevilla,Sevilla Norte,Mairena del Alcor
Sevilla,Sevilla Norte,Viso del Alcor (El)
Huelva,Sevilla Norte,Arroyomolinos de León
Huelva,Sevilla Norte,Cala
Huelva,Sevilla Norte,Santa Olalla del Cala
Huelva,Sevilla Norte,Zufre
Sevilla,Sevilla (distrito),Sevilla (capital)
